[2025-07-03 16:29:08.788] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":88}
[2025-07-03 16:29:08.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-03 16:29:08.794] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":89}
[2025-07-03 16:29:08.794] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":89}
[2025-07-03 16:29:08.805] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
[2025-07-03 16:29:08.805] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
[2025-07-03 16:29:08.824] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":91}
[2025-07-03 16:29:08.825] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":91}
[2025-07-03 16:29:08.831] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":92}
[2025-07-03 16:29:08.831] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":92}
[2025-07-03 16:29:08.834] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-07-03 16:29:08.835] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-07-03 16:29:08.836] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":94}
[2025-07-03 16:29:08.837] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":94}
[2025-07-03 16:29:08.843] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":95}
[2025-07-03 16:29:08.844] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":95}
[2025-07-03 16:29:08.853] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2025-07-03 16:29:08.854] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2025-07-03 16:29:08.860] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-07-03 16:29:08.861] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-07-03 16:29:08.863] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-07-03 16:29:08.863] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-07-03 16:29:08.869] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":99}
[2025-07-03 16:29:08.870] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":99}
[2025-07-03 16:29:08.876] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-07-03 16:29:08.877] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-07-03 16:29:08.892] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-07-03 16:29:08.893] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-07-03 16:29:09.378] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":1}
[2025-07-03 16:29:09.378] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":1}
[2025-07-03 16:29:09.381] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-07-03 16:29:09.381] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-07-03 16:29:09.392] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
